Video,Arena,Sequence,Individual,Group,REP,Beginning_seq,End_seq,Prop_time_lost,Smoothing_filter_window,Smoothing_Polyorder,Moving_threshold,Prop_time_moving,Average_Speed,Average_Speed_Moving,Traveled_Dist,Meander,Traveled_Dist_Moving,Meander_moving,Exploration_absolute_value,Exploration_relative_value,Exploration_method,Exploration_area,Exploration_aspect_param,Mean_nb_neighbours,Prop_time_with_at_least_one_neighbour,Mean_shortest_interind_distance,Mean_sum_interind_distances
REP_3.avi,1,5_min,IMI_3,IMI,3,240,298.97,0,0,0,0.28,0.9807467911,3.619292058,3.686478,213.5444608,783.877283,213.3208096,594.1597302,29.40754235,0.5016684889,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,General,DEL_3,DEL,3,0,300,0,0,0,0.28,0.03075157774,0.1199698131,0.3312130236,35.99094394,37996.66309,3.055596913,7752.500756,0.4174167908,0.007360094335,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,1_min,DEL_3,DEL,3,0,60,0,0,0,0.28,0.04532415376,0.1383936054,0.3234524818,8.303616323,30134.42259,0.879612601,7337.208601,0.2730764052,0.004815014986,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,2_min,DEL_3,DEL,3,60,120,0,0,0,0.28,0.03841743119,0.1266951992,0.3245300082,7.606073233,31968.36001,0.7484857332,7944.971691,0.2686180149,0.004736402496,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,3_min,DEL_3,DEL,3,120,180,0,0,0,0.28,0.01548165138,0.1102358881,0.3306407133,6.617947981,39351.12319,0.307308064,7213.522646,0.2624877283,0.004628310323,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,4_min,DEL_3,DEL,3,180,240,0,0,0,0.28,0.03096330275,0.110364341,0.3494578746,6.625659575,47918.06151,0.6495946722,6844.651859,0.3862080588,0.006809806908,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,2,5_min,DEL_3,DEL,3,240,298.97,0,0,0,0.28,0.0227537923,0.113823962,0.3355078822,6.715809666,40827.35366,0.4504236629,9671.77571,0.281435887,0.004962413403,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,General,CTR_3,CTR,3,0,300,0,0,0,0.28,0.851979346,3.69611903,4.314016753,1108.835709,4364.435347,1102.635952,422.8112102,44.38104613,0.8277396086,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,1_min,CTR_3,CTR,3,0,60,0,0,0,0.28,0.2960413081,0.2420077382,0.4885133426,14.52046429,20433.11051,8.677207737,2825.429459,4.638397797,0.08650957811,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,2_min,CTR_3,CTR,3,60,120,0,0,0,0.28,0.9759174312,3.626196653,3.711116769,217.6966252,566.3288833,217.4292854,289.4944458,27.47092907,0.5123533141,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,3_min,CTR_3,CTR,3,120,180,0,0,0,0.28,0.994266055,3.761387643,3.782217398,225.8127384,373.4655858,225.7612726,292.6601696,29.85170948,0.5567566444,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,4_min,CTR_3,CTR,3,180,240,0,0,0,0.28,0.994266055,4.814042748,4.841115594,289.0082807,256.8067717,288.9671063,222.7448148,33.84531258,0.6312403206,Modern,0.2,NA,NA,NA,NA,NA
REP_3.avi,3,5_min,CTR_3,CTR,3,240,298.97,0,0,0,0.28,0.9988331389,6.031465395,6.038477325,355.8668395,190.2533791,355.8648255,171.2604524,33.86258884,0.6315625357,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,General,IMI_4,IMI,4,0,299.99,0,15,2,0.28,0.9001492023,1.295556686,1.419678829,388.6580845,1368.551839,383.3680298,322.4801389,47.40717854,0.8359062546,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,1_min,IMI_4,IMI,4,0,59.98,0,15,2,0.28,0.7893226177,0.722783082,0.8687448549,43.35105801,2475.279985,41.12808757,477.2539375,12.899795,0.227455412,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,2_min,IMI_4,IMI,4,59.98,119.99,0,15,2,0.28,0.9019495413,1.206535494,1.318894482,72.44862626,1554.435308,71.4302789,348.7203143,24.66715887,0.4349432516,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,3_min,IMI_4,IMI,4,119.99,179.97,0,15,2,0.28,0.9397590361,1.477333905,1.560834028,88.65834584,923.1555471,88.02665395,235.0346347,29.74359352,0.5244533975,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,4_min,IMI_4,IMI,4,179.97,239.98,0,15,2,0.28,0.9122706422,1.264734437,1.369255171,75.94328804,1201.483566,75.00636884,351.1484836,26.2599188,0.4630275635,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,0,5_min,IMI_4,IMI,4,239.98,298.99,0,15,2,0.28,0.956851312,1.806338762,1.879296895,106.6613062,695.5313212,106.1811804,229.0060916,30.08521767,0.5304770795,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,General,COM_4,COM,4,0,299.99,0,15,2,0.28,0.9842763686,4.073333447,4.135682883,1221.971985,322.6743794,1221.168448,171.0864498,46.07690634,0.812450253,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,1_min,COM_4,COM,4,0,59.98,0,15,2,0.28,0.9414466131,2.511250458,2.657145506,150.6196908,809.8647832,150.038515,305.5814407,22.18662198,0.3912052277,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,2_min,COM_4,COM,4,59.98,119.99,0,15,2,0.28,0.997706422,4.942210341,4.953118157,296.764042,123.3575784,296.736868,105.1610384,32.24642236,0.5685844839,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,3_min,COM_4,COM,4,119.99,179.97,0,15,2,0.28,0.9977051061,4.893428679,4.904254861,293.6663747,134.5038753,293.6406557,107.8724668,25.9422585,0.4574264236,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,4_min,COM_4,COM,4,179.97,239.98,0,15,2,0.28,0.9913990826,3.831992833,3.863624381,230.099005,307.7448761,230.0029801,188.1635123,32.1834476,0.5674740824,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,1,5_min,COM_4,COM,4,239.98,298.99,0,15,2,0.28,0.9930029155,4.190683765,4.218960411,247.4529216,238.9095073,247.3794787,155.7024786,26.45831717,0.4665258193,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,2,General,DEL_4,DEL,4,0,299.99,0,15,2,0.28,0.9879490417,4.449129453,4.501159813,1334.708199,267.6394104,1334.044335,149.4845023,48.76865948,0.9095718696,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,2,1_min,DEL_4,DEL,4,0,59.98,0,15,2,0.28,0.9735935706,4.373568042,4.48760558,262.3177086,412.3061615,262.0499609,170.3567395,36.43452274,0.679531021,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,2,2_min,DEL_4,DEL,4,59.98,119.99,0,15,2,0.28,0.9873853211,4.401364389,4.455172798,264.2879595,331.3033451,264.1443175,162.4345191,42.90308975,0.8001746198,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,2,3_min,DEL_4,DEL,4,119.99,179.97,0,15,2,0.28,0.9994262765,4.995727849,4.998458387,299.8055929,96.61935936,299.7973595,96.21693322,39.25166811,0.732072883,Modern,0.2,NA,NA,NA,NA,NA
REP_4.avi,2,4_min,DEL_4,DEL,4,179.97,239.98,0,15,2,0.28,0.9931192661,4.394832634,4.423747043,263.8957483,225.656873,263.8042239,166.2603941,38.67319197,0.7212838716,Modern,0.2,NA,NA,NA,NA,NA
