Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
COM,REP_6,Tentativa_voo,0:35:00,tef,35,Tentativa_voo,00:00:00,0
COM,REP_6,Limpeza,0:11:00,tef,11,Limpeza,00:25:00,25
COM,REP_6,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_6,Observação ,Andar estranho meio tremido e limpeza andando,tef,#VALUE!,Observação ,,0
IMI,REP_6,Repouso,,tef,0,Repouso,,0
IMI,REP_6,Exploracao,4:58:00,tef,298,Exploracao,,0
IMI,REP_6,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
IMI,REP_6,Limpeza,1:03:00,tef,63,Limpeza,00:08:00,8
IMI,REP_6,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_6,Observação ,Limpeza em movimento nas antenas ,tef,#VALUE!,Observação ,,0
DEL,REP_7,Repouso,,tef,0,Repouso,,0
DEL,REP_7,Exploracao,4:40:00,tef,280,Exploracao,,0
DEL,REP_7,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
DEL,REP_7,Limpeza,0:06:00,tef,6,Limpeza,00:22:00,22
DEL,REP_7,Movimento_circular,0:16:00,tef,16,Movimento_circular,,0
DEL,REP_7,Observação ,Limpeza leve se movimentando,tef,#VALUE!,Observação ,,0
CTR,REP_7,Repouso,,tef,0,Repouso,,0
CTR,REP_7,Exploracao,3:19:00,tef,199,Exploracao,,0
CTR,REP_7,Tentativa_voo,0:35:00,tef,35,Tentativa_voo,00:17:00,17
CTR,REP_7,Limpeza,,tef,0,Limpeza,00:03:00,3
CTR,REP_7,Movimento_circular,2:06:00,tef,126,Movimento_circular,,0
CTR,REP_7,Observação ,,tef,0,Observação ,,0
COM,REP_7,Repouso,2:33:00,tef,153,Repouso,,0
COM,REP_7,Exploracao,2:09:00,tef,129,Exploracao,,0
COM,REP_7,Tentativa_voo,3:33:00,tef,213,Tentativa_voo,02:55:00,175
COM,REP_7,Limpeza,0:51:00,tef,51,Limpeza,00:55:00,55
